Direccion;Canal;Segmento;Fecha de creacion;Dia de la semana;Numero de semana;Cod Persona;Campaña de referencia
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;10010330;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;47110970;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;43950720;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;45144350;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;18/04/2026;sábado;16;49551970;Pregrado-AC-202602 
Inbound;Web;Gracias landing;17/04/2026;viernes;16;21458010;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;19/04/2026;domingo;16;48449210;Pregrado-AC-202602 
Outbound;WhatsApp;wacoy648_inicial_contactados_y_interesados_15042026;15/04/2026;miércoles;16;29057010;EPE-FC-202602 - EPE- 202602
Inbound;Web;Gracias landing;16/04/2026;jueves;16;1778350;EPE-FC-202602 - EPE- 202602
Inbound;Web;Botón Página Principal;18/04/2026;sábado;16;46607920;Pregrado-AC-202602 
Inbound;Web;Gracias landing;18/04/2026;sábado;16;45544800;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;18/04/2026;sábado;16;47134760;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;20508320;EPE-FC-202602 - EPE- 202602
Inbound;Web;Gracias landing;15/04/2026;miércoles;16;49591730;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;9468400;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;49479510;Pregrado-AC-202602 
Inbound;Web;Portal;15/04/2026;miércoles;16;38144780;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;19/04/2026;domingo;16;43656710;Pregrado-AC-202602 
Inbound;Web;Gracias principal;14/04/2026;martes;16;41174230;Pregrado-AC-202602 
Inbound;Web;Gracias landing;13/04/2026;lunes;16;49573510;EPE-FC-202602 - EPE- 202602
Inbound;Email;Email bienvenida;19/04/2026;domingo;16;47140310;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;12122670;Pregrado-AC-202602 
Inbound;Onsite;Pop-Up;17/04/2026;viernes;16;12122670;Pregrado-AC-202602 
Inbound;Web;Gracias landing;13/04/2026;lunes;16;49566690;Pregrado-AC-202602 
